Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
Norway_5,"Norway, TromsÃ¸ island, TromsÃ¸ NOR Teleg.",43,20,0,3,20,497447,446976,0,29430,21041
Poland_1,"Poland, Gdynia, Gdynia harbour inside wall (pilot wharf); cargo ships; close to recreational marina",57,18,5,6,28,298526,233454,30404,6224,28444
Portugal_1,"Portugal, Setubal, Sines",81,32,8,8,33,256881,138167,62635,37641,18438
Portugal_2,"Portugal, Setubal, Sines",89,34,9,7,39,306475,102439,105505,35120,63411
Portugal_3,Póvoa De Varzim,123,57,11,7,48,1206269,504615,372075,43980,285599
Portugal_4,Vila Praia de Ancora,88,42,14,9,23,763902,354685,73302,4724,331191
Spain_1,"Spain, Asturias, Gijon",90,35,10,8,37,416110,175010,93282,7540,140278
Spain_10,"Spain, Mallorca, Sa Rapita",169,38,14,13,104,1063754,821247,31539,43875,167093
Spain_2,"Spain, Barcelona, Barceloneta",149,51,13,13,72,1114217,931240,7639,74821,100517
Spain_3,"Spain, Coruna, Coruna",87,33,9,3,42,284555,119923,58700,4255,101677
Spain_4,"Spain, Lugo, Burela",90,44,13,7,26,232510,209845,17787,3241,1637
Spain_5,"Spain, Barcelona, Port FÃ²rum; north of Barcelona",103,30,14,14,45,356001,118670,80537,29996,126798
Spain_6,"Spain, Barcelona, Port OlÃ­mpic; Barcelona",56,27,5,4,20,614230,563153,4244,3346,43487
Spain_7,"Spain, Barcelona, Port Vell; Barcelona",84,17,7,9,51,123513,30285,3526,3187,86515
Spain_8,"Spain, Mallorca, Alcudia port",121,38,12,12,59,469104,83788,141481,28338,215497
Spain_9,"Spain, Mallorca, Potixol- Palma",64,23,5,7,29,819877,628854,39590,28856,122577
UK_1,"United Kingdom, North Coast, Portrush",107,29,15,6,57,107706,48827,20380,4539,33960
UK_2,"United Kingdom, North Coast, Portrush1",120,36,11,8,65,294507,213180,5691,11474,64162
