Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
NA_47,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Î½Ï„Î¿Ï‚ Î›Î¹Î¼Î­Î½Î±",343,38,14,16,275,1591875,575764,39277,53079,923755
NA_48,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Ï€Î¹Î²Î±Ï„Î¹ÎºÏŒÏ‚ Î¤ÎµÏÎ¼Î±Ï„Î¹ÎºÏŒÏ‚ Î£Ï„Î±Î¸Î¼ÏŒÏ‚ ""ÎœÎ±ÎºÎµÎ´Î¿Î½Î¯Î±""",439,61,19,19,340,3270888,1407201,78057,83986,1701644
NA_49,Î•Î»Î»Î¬Î´Î±,73,14,4,4,51,231609,126612,6045,1747,97205
NA_5,Kaleton,68,7,1,3,57,325534,56187,895,6069,262383
NA_50,"Î›Î¹Î¼Î¬Î½Î¹, 26Î·Ï‚ ÎŸÎºÏ„Ï‰Î²ÏÎ¯Î¿Ï… 31",239,47,12,15,165,2600455,1217566,78707,43170,1261012
NA_51,Ð¢Ñ€Ð°ÑÑÐ° Ð·Ð´Ð¾Ñ€Ð¾Ð²ÑŒÑ,99,10,3,7,79,544726,54881,16714,56056,417075
NA_52,ÐŸÐ»ÑÐ¶ ÐžÑ‚Ñ€Ð°Ð´Ð°,159,19,4,8,128,931071,123174,94076,17602,696219
NA_53,"ÐŸÐ»ÑÐ¶ Ð”ÐµÐ»ÑŒÑ„Ð¸Ð½, 4",364,39,14,13,298,10522607,2047976,1201177,468392,6805062
NA_54,NA,117,22,10,10,75,1033431,589601,92002,127398,224430
NA_55,NA,59,7,4,4,44,1124334,376354,161103,127221,459656
NA_6,"Odesa Oblast, Odesa District, Chornomors'ka",48,7,5,2,34,310597,75997,11010,2065,221525
NA_7,"Odesa Oblast, Odesa District, Chornomors'ka, Ðœ-27",127,19,10,9,89,1889228,360544,226154,110091,1192439
NA_8,"Odesa Oblast, Odesa District, Odesa",271,27,8,20,216,3050957,315415,391374,337140,2007028
NA_9,"Odesa Oblast, Odesa District, Odesa, Ð¢Ñ€Ð°ÑÑÐ° Ð·Ð´Ð¾Ñ€Ð¾Ð²ÑŒÑ",139,20,8,13,98,324728,36587,15826,38203,234112
Netherlands_1,"Netherlands, Het Hogeland municipality, Eemshaven",220,39,3,15,163,817072,186400,5003,93479,532190
Netherlands_2,"Netherlands, South-Holland, Scheveningen Haven",104,28,3,7,66,685943,360835,142694,13195,169219
Netherlands_3,"Netherlands, The Hague",187,34,6,17,130,1280628,396996,60053,191687,631892
Netherlands_4,"Zuid-Holland, Rotterdam, Rotterdam, Europoort",163,28,9,9,117,359557,136326,57763,24621,140847
Netherlands_5,"Zuid-Holland, Rotterdam, Rotterdam, Heijplaat, Droogdokweg 71",99,16,4,7,72,723115,250836,61307,45733,365239
Netherlands_6,"Zuid-Holland, Rotterdam, Rotterdam, Maasvlakte, Ohiokade",34,8,3,1,22,530528,450620,4570,1968,73370
Netherlands_7,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg",103,11,8,5,79,596140,235275,26907,56387,277571
Norway_1,"Norway, Lindesnes",188,52,10,11,115,1720270,695370,117414,115007,792479
Norway_2,"Storenes, Kristiansand kommune, Kristiansand",149,12,5,9,123,480371,71861,11298,6014,391198
Norway_3,"Norway, Oslo",54,10,2,5,37,2338581,760257,2760,752434,823130
Norway_4,"Norway, TromsÃ¸ island, TromsÃ¸ NOR Teleg.",126,19,6,6,95,890276,138981,210883,9581,530831
Norway_5,"Norway, TromsÃ¸ island, TromsÃ¸ NOR Teleg.",129,13,5,5,106,552086,98493,144280,4004,305309
Poland_1,"Poland, Gdynia, Gdynia harbour inside wall (pilot wharf); cargo ships; close to recreational marina",127,11,4,7,105,1778818,310534,153144,105554,1209586
Portugal_1,"Portugal, Setubal, Sines",160,28,10,10,112,1731322,664702,402501,18811,645308
Portugal_2,"Portugal, Setubal, Sines",134,24,9,11,90,1486512,636235,446193,52592,351492
Portugal_3,Póvoa De Varzim,178,31,11,14,122,995693,341757,96985,50697,506254
Portugal_4,Vila Praia de Ancora,172,24,17,9,122,1437346,366098,388407,63903,618938
Spain_1,"Spain, Asturias, Gijon",107,24,31,0,52,1275435,818678,193136,0,263621
Spain_10,"Spain, Mallorca, Sa Rapita",148,8,7,4,129,580096,11280,35651,725,532440
Spain_2,"Spain, Barcelona, Barceloneta",259,45,15,3,196,701750,481372,54488,498,165392
Spain_3,"Spain, Coruna, Coruna",148,22,12,7,107,1175790,294520,134803,8940,737527
Spain_4,"Spain, Lugo, Burela",73,16,2,2,53,1293203,364403,62594,6560,859646
Spain_5,"Spain, Barcelona, Port FÃ²rum; north of Barcelona",124,24,9,10,81,1274815,261619,427908,52775,532513
Spain_6,"Spain, Barcelona, Port OlÃ­mpic; Barcelona",50,11,3,1,35,1438341,383645,812623,288,241785
Spain_7,"Spain, Barcelona, Port Vell; Barcelona",114,19,5,11,79,1393418,427420,606815,113001,246182
Spain_8,"Spain, Mallorca, Alcudia port",97,15,5,4,73,640104,359928,26868,72100,181208
Spain_9,"Spain, Mallorca, Potixol- Palma",194,24,12,11,147,711426,389865,35891,4915,280755
UK_1,"United Kingdom, North Coast, Portrush",408,53,12,24,319,383425,168525,19162,46248,149490
UK_2,"United Kingdom, North Coast, Portrush1",95,25,7,14,49,1087090,703409,94742,146807,142132
