Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
NA_12,"Porto, LeÃ§a da Palmeira, Via Interna de LigaÃ§Ã£o ao Porto de LeixÃµes",386,98,13,6,269,4257377,769464,104605,16805,3366503
NA_13,"Porto, Matosinhos, Av. Eng. Duarte Pacheco 2",358,84,12,5,257,3134322,516087,140016,27658,2450561
NA_14,"Porto, Matosinhos, Ponte mÃ³vel de LeÃ§a",294,74,10,6,204,2193294,403541,114883,15684,1659186
NA_15,"Porto, Matosinhos, Porto de LeixÃµes",422,102,14,8,298,4060200,555163,206903,25414,3272720
NA_16,"Porto, Matosinhos, R. Cartelas Vieira 24",73,17,2,1,53,1646301,125924,9408,2022,1508947
NA_17,"TrÃ¸ndelag, Trondheim, BrattÃ¸rkaia 11",308,45,16,3,244,4194524,694727,393550,2384,3103863
NA_18,"TrÃ¸ndelag, Trondheim, Bynesveien 46",519,147,13,9,350,4375632,636539,301342,50186,3387565
NA_19,"TrÃ¸ndelag, Trondheim, Pir 1 nr. 7 (HR-kaien)",458,124,11,6,317,4803408,516215,316647,16398,3954148
NA_2,Caleton 2,81,15,4,0,62,319243,90878,18392,0,209973
NA_20,"TrÃ¸ndelag, Trondheim, Pir Ii 15a",546,136,20,11,379,4140357,377613,208366,44908,3509470
NA_21,"TrÃ¸ndelag, Trondheim, Strandveien 104",358,88,13,3,254,4095880,938866,231640,2539,2922835
NA_22,Ukraine,258,65,14,6,173,5291346,1151737,304357,25203,3810049
NA_23,Ukraine,274,68,14,3,189,1458656,473909,210153,2607,771987
NA_24,Vidrada,119,27,8,1,83,783225,174265,104791,165,504004
NA_25,"Zuid Holland, Rotterdam Rozenburg, Nieuwe weg 1",90,25,5,0,60,173959,72430,5158,0,96371
NA_26,"Zuid-Holland, Leiden, Leiden, Coornhertstraat 63",107,32,3,3,69,630182,198699,6710,4986,419787
NA_27,"Zuid-Holland, Nissewaard, Spijkenisse, Hongerlandsedijk 1",344,75,9,9,251,3751952,926760,131976,36959,2656257
NA_28,"Zuid-Holland, Rotterdam, Maasvlakte Rotterdam, Botlek, Loswalweg 1",314,91,7,9,207,3249895,623625,103184,16478,2506608
NA_29,"Zuid-Holland, Rotterdam, Rotterdam, Charlois, Droogdokweg 71",334,93,15,5,221,2903368,670037,383237,16742,1833352
NA_3,Caleton 3,133,27,6,0,100,235557,71308,12544,0,151705
NA_30,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg 1",382,91,13,4,274,3258203,593423,240010,3017,2421753
NA_31,nudist beach,66,8,3,6,49,394775,215231,27756,3616,148172
NA_32,yellow stone aug 24 1,102,21,8,1,72,590214,164018,99636,306,326254
NA_33,yellow_stone_1_aug,114,26,3,1,84,4527,578,143,2,3804
NA_34,yellow_stone_2_aug,89,18,3,0,68,332874,68868,9072,0,254934
NA_35,yellow_stone_3_aug,87,17,4,1,65,219339,47218,5653,309,166159
NA_36,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 25",101,18,6,6,71,846032,127732,35006,80623,602671
NA_37,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 25",260,60,10,9,181,1137173,181322,327985,26406,601460
NA_38,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 31",234,53,7,6,168,1449021,135081,41770,8867,1263303
NA_39,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, 26Î·Ï‚ ÎŸÎºÏ„Ï‰Î²ÏÎ¯Î¿Ï… 15",229,50,4,5,170,1799721,418161,37322,147837,1196401
NA_4,"Europoort Rotterdam, Botlek, Rijndwarsweg 9",269,75,8,9,177,4052941,1139237,318559,31983,2563162
NA_40,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, ÎÎ±Ï…Î¬ÏÏ‡Î¿Ï… Î’ÏŒÏ„ÏƒÎ· 4",359,86,10,10,253,4729128,676292,658081,45776,3348979
NA_41,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î ÏÎ»Î· 11",98,23,2,0,73,364091,88388,11564,0,264139
NA_42,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, ÎŸÎ´ÏŒÏ‚ Ï‡Ï‰ÏÎ¯Ï‚ Î¿Î½Î¿Î¼Î±ÏƒÎ¯Î±",110,26,3,2,79,456639,117930,21421,1295,315993
NA_43,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·",98,20,5,1,72,419855,43988,9401,12231,354235
NA_44,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ· 546 27",113,25,3,1,84,1320429,101809,281784,159,936677
NA_45,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ· 546 27",172,39,6,2,125,1345732,114760,468317,9864,752791
NA_46,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î‘Ï€Î¿Î¸Î®ÎºÎ· 1",119,24,4,3,88,1986571,267634,85588,137598,1495751
NA_47,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Î½Ï„Î¿Ï‚ Î›Î¹Î¼Î­Î½Î±",247,62,4,4,177,3911390,639548,249266,6227,3016349
NA_48,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Ï€Î¹Î²Î±Ï„Î¹ÎºÏŒÏ‚ Î¤ÎµÏÎ¼Î±Ï„Î¹ÎºÏŒÏ‚ Î£Ï„Î±Î¸Î¼ÏŒÏ‚ ""ÎœÎ±ÎºÎµÎ´Î¿Î½Î¯Î±""",275,63,8,6,198,5348012,536944,685026,41800,4084242
NA_49,Î•Î»Î»Î¬Î´Î±,99,18,3,1,77,219973,33533,5390,5199,175851
NA_5,Kaleton,59,20,5,0,34,316588,118711,38333,0,159544
NA_50,"Î›Î¹Î¼Î¬Î½Î¹, 26Î·Ï‚ ÎŸÎºÏ„Ï‰Î²ÏÎ¯Î¿Ï… 31",170,45,6,3,116,2684890,214004,180346,41296,2249244
NA_51,Ð¢Ñ€Ð°ÑÑÐ° Ð·Ð´Ð¾Ñ€Ð¾Ð²ÑŒÑ,47,11,4,1,31,636545,129890,42687,1569,462399
NA_52,ÐŸÐ»ÑÐ¶ ÐžÑ‚Ñ€Ð°Ð´Ð°,240,54,15,2,169,1112319,332223,141938,658,637500
NA_53,"ÐŸÐ»ÑÐ¶ Ð”ÐµÐ»ÑŒÑ„Ð¸Ð½, 4",414,106,18,3,287,7548739,1858024,769947,7162,4913606
NA_54,NA,160,31,6,1,122,407297,25102,5225,233,376737
NA_55,NA,86,26,5,1,54,634689,179158,48025,862,406644
NA_6,"Odesa Oblast, Odesa District, Chornomors'ka",57,14,6,0,37,129746,75719,23017,0,31010
NA_7,"Odesa Oblast, Odesa District, Chornomors'ka, Ðœ-27",144,40,7,0,97,1759798,735649,220125,0,804024
NA_8,"Odesa Oblast, Odesa District, Odesa",213,47,11,8,147,2632668,620676,109447,111959,1790586
NA_9,"Odesa Oblast, Odesa District, Odesa, Ð¢Ñ€Ð°ÑÑÐ° Ð·Ð´Ð¾Ñ€Ð¾Ð²ÑŒÑ",40,7,4,1,28,483791,83842,10954,213,388782
Netherlands_1,"Netherlands, Het Hogeland municipality, Eemshaven",160,46,5,8,101,1144903,420460,22608,13459,688376
Netherlands_2,"Netherlands, South-Holland, Scheveningen Haven",88,18,3,6,61,551487,99898,5942,20349,425298
Netherlands_3,"Netherlands, The Hague",173,38,11,3,121,830043,154849,27323,12569,635302
Netherlands_4,"Zuid-Holland, Rotterdam, Rotterdam, Europoort",147,35,6,2,104,1218755,195522,50537,27563,945133
Netherlands_5,"Zuid-Holland, Rotterdam, Rotterdam, Heijplaat, Droogdokweg 71",127,38,6,0,83,414540,85931,18232,0,310377
Netherlands_6,"Zuid-Holland, Rotterdam, Rotterdam, Maasvlakte, Ohiokade",52,13,4,1,34,1147769,387659,26841,163,733106
Netherlands_7,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg",98,20,8,2,68,396678,36617,15566,137,344358
Norway_1,"Norway, Lindesnes",111,30,4,3,74,1241028,258478,58504,35041,889005
Norway_2,"Storenes, Kristiansand kommune, Kristiansand",175,46,5,3,121,429001,62154,15935,4650,346262
Norway_3,"Norway, Oslo",75,10,3,0,62,1098228,256021,78291,0,763916
Norway_4,"Norway, TromsÃ¸ island, TromsÃ¸ NOR Teleg.",120,27,4,2,87,641511,33246,27154,707,580404
Norway_5,"Norway, TromsÃ¸ island, TromsÃ¸ NOR Teleg.",132,24,4,1,103,410158,25045,35906,415,348792
Poland_1,"Poland, Gdynia, Gdynia harbour inside wall (pilot wharf); cargo ships; close to recreational marina",140,37,6,1,96,368782,63678,13566,76,291462
Portugal_1,"Portugal, Setubal, Sines",142,35,4,2,101,313969,67284,7465,893,238327
Portugal_2,"Portugal, Setubal, Sines",190,51,6,4,129,548549,84271,8365,247,455666
Portugal_3,Póvoa De Varzim,134,33,6,5,90,803165,315825,14151,48242,424947
Portugal_4,Vila Praia de Ancora,189,55,7,5,122,627836,126908,36163,22893,441872
Spain_1,"Spain, Asturias, Gijon",170,47,1,2,120,992758,321855,19077,303,651523
Spain_10,"Spain, Mallorca, Sa Rapita",203,53,4,3,143,689987,351744,25396,60091,252756
Spain_2,"Spain, Barcelona, Barceloneta",191,48,5,2,136,449306,70646,7032,912,370716
Spain_3,"Spain, Coruna, Coruna",225,51,4,5,165,334650,57338,12590,104,264618
Spain_4,"Spain, Lugo, Burela",75,15,2,0,58,854150,115232,9984,0,728934
Spain_5,"Spain, Barcelona, Port FÃ²rum; north of Barcelona",198,50,7,3,138,1186093,172271,234887,3769,775166
Spain_6,"Spain, Barcelona, Port OlÃ­mpic; Barcelona",99,28,4,1,66,1167730,230377,15358,5966,916029
Spain_7,"Spain, Barcelona, Port Vell; Barcelona",152,38,8,2,104,337723,44526,11386,108,281703
Spain_8,"Spain, Mallorca, Alcudia port",137,33,5,5,94,541522,96679,50070,10154,384619
Spain_9,"Spain, Mallorca, Potixol- Palma",236,60,4,3,169,713321,170818,6744,8041,527718
UK_1,"United Kingdom, North Coast, Portrush",324,84,8,2,230,1332743,302065,22868,4433,1003377
UK_2,"United Kingdom, North Coast, Portrush1",150,34,6,3,107,777133,75793,49187,102977,549176
