Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
Denmark_1,"Denmark, Copenhagen, Copenhagen, Floating jetty for harbor bus",256,65,7,4,180,225132,78312,25892,4276,116652
Denmark_2,"Denmark, Copenhagen, Copenhagen, Nyhavn Harbor",107,27,4,1,75,207647,88910,5677,628,112432
Finland_1,"Finland, Varsinais-Suomi, Turku",342,69,6,1,266,359892,79782,3134,1586,275390
France_1,"France, Narbona, Port de la Nouvelle",441,138,4,7,292,237674,70163,4027,2682,160802
Germany_1,NA,263,61,12,3,187,280724,79876,10189,543,190116
Greece_1,Rhodes_Aquarium_1stArea,185,41,5,3,136,375781,54259,6930,2099,312493
Greece_2,Rhodes_Aquarium_2ndArea,294,86,3,4,201,772940,189149,28763,6800,548228
Greece_3,"ÎšÎ±Î²Î¬Î»Î±, Î Î¿Ï…Î»Î¯Î´Î¿Ï… 26",208,50,9,5,144,511527,83950,19747,22245,385585
Greece_4,"Î‘Î»ÎµÎ¾Î±Î½Î´ÏÎ¿ÏÏ€Î¿Î»Î·, Î’Î±Ïƒ. Î‘Î»ÎµÎ¾Î¬Î½Î´ÏÎ¿Ï… 20",98,17,6,2,73,1265401,234822,562317,1110,467152
Greece_5,"Greece, Chania, Eastern edge of Koum Kapi water front; east of the port of Chania",271,54,3,3,211,410066,44714,5972,412,358968
Greece_6,"Greece, Chania, Small port of Nea Chora; at the west of the city of Chania",199,36,4,5,154,472437,25273,4501,10295,432368
Greece_7,"Greece, Heraklion, Dermatas bay",143,32,7,6,98,1262328,198402,61063,141626,861237
Greece_8,"Greece, Heraklion, Dermatas bay1",432,107,9,8,308,498584,126094,16304,38327,317859
Italy_1,"Abruzzo, Province of Chieti, Vasto, Viale Marinai d'Italia",238,61,8,7,162,312972,132828,6084,11093,162967
Italy_2,"Italy, Nuoro, Baunei",178,44,7,4,123,693008,118688,27060,3032,544228
Italy_3,"Italy, Nuoro, Dorgali",663,215,12,7,429,721039,280160,21551,4508,414820
Italy_4,"Calabria, Province of Vibo Valentia, Vibo Valentia, Vibo Marina",132,27,2,3,100,725510,226957,6031,3574,488948
NA_1,Caleton 1,110,24,5,0,81,439574,71292,25401,0,342881
NA_10,"Porto, LeÃ§a da Palmeira, Av. Q.ta Santiago 5",265,62,12,3,188,1857821,238077,101927,3914,1513903
NA_11,"Porto, LeÃ§a da Palmeira, Cais 6",343,86,15,7,235,5032824,868188,435090,33333,3696213
