"Country","Site","OTU","n_biosamples_positive","n_pcr_positive","n_pcr_total","mean_p_pcr","min_p_pcr","max_p_pcr","min_pcr_per_pos_biosample","max_pcr_per_pos_biosample","pcr_distribution","total_reads","p_pcr_pooled","pcr_spread_ratio","total_biosamples_at_site","total_pcr_at_site","p_empirical","theta","p_star","p_detect_site","confidence_score","reliability","confidence","Phylum","Class","Order","Family","Genus","Species"
"Denmark","Denmark_1","otu10",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",18,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ponticola",NA
"Denmark","Denmark_1","otu1003",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",15,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1127",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",79,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula",NA
"Denmark","Denmark_1","otu1138",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",850,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas",NA
"Denmark","Denmark_1","otu118",2,2,6,0.333333333333333,0.333333333333333,0.333333333333333,2,2,"2",475,0.333333333333333,1,3,9,0.222222222222222,0.666666666666667,0.703703703703704,0.850393552623904,0.65,"Unreliable","High",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1260",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",295,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1290",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",113,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1314",2,3,6,0.5,0.333333333333333,0.666666666666667,3,3,"3",331,0.5,1,3,9,0.333333333333333,0.666666666666667,0.875,0.927662037037037,0.65,"Marginal","High",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu134",2,6,6,1,1,1,6,6,"6",664,1,1,3,9,0.666666666666667,0.666666666666667,1,0.962962962962963,0.65,"Reliable","High","Arthropoda","Thecostraca","Balanomorpha","Balanidae",NA,NA
"Denmark","Denmark_1","otu137",3,7,9,0.777777777777778,0.333333333333333,1,7,7,"7",13927,0.777777777777778,1,3,9,0.777777777777778,1,0.989026063100137,0.999998678438507,1,"Reliable","Very high","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"Denmark","Denmark_1","otu138",2,4,6,0.666666666666667,0.333333333333333,1,4,4,"4",643,0.666666666666667,1,3,9,0.444444444444444,0.666666666666667,0.962962962962963,0.954107793715577,0.65,"Marginal","High","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidioides","Alcyonidioides mytili"
"Denmark","Denmark_1","otu141",3,6,9,0.666666666666667,0.333333333333333,1,6,6,"6",12062,0.666666666666667,1,3,9,0.666666666666667,1,0.962962962962963,0.999949194736575,0.9,"Reliable","Very high","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobius","Gobius niger"
"Denmark","Denmark_1","otu1419",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",438,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
