"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Octopus vulgaris",140605,TRUE,NA,FALSE,FALSE,FALSE
"Aphia minuta",126868,TRUE,TRUE,FALSE,FALSE,FALSE
"Littorina littorea",140262,TRUE,FALSE,FALSE,FALSE,FALSE
"Nerophis lumbriciformis",127383,TRUE,FALSE,FALSE,FALSE,FALSE
"Neogobius melanostomus",126916,TRUE,TRUE,TRUE,FALSE,FALSE
"Echinocardium cordatum",124392,TRUE,FALSE,FALSE,FALSE,FALSE
"Pterois miles",218077,TRUE,FALSE,FALSE,FALSE,FALSE
"Pomatoschistus microps",126927,TRUE,TRUE,TRUE,FALSE,FALSE
"Abramis brama",154281,FALSE,TRUE,TRUE,FALSE,TRUE
"Raniceps raninus",126442,TRUE,TRUE,FALSE,FALSE,FALSE
"Scyliorhinus canicula",105814,TRUE,FALSE,FALSE,FALSE,FALSE
"Syngnathus typhle",127393,TRUE,TRUE,FALSE,FALSE,FALSE
"Gymnocephalus cernua",405451,FALSE,TRUE,TRUE,FALSE,TRUE
"Elysia viridis",139686,TRUE,NA,NA,NA,FALSE
"Fredericella sultana",NA,NA,NA,NA,NA,NA
"Coryphoblennius galerita",126762,TRUE,FALSE,FALSE,FALSE,FALSE
"Marthasterias glacialis",123803,TRUE,FALSE,FALSE,FALSE,FALSE
"Patella vulgata",140685,TRUE,NA,NA,NA,FALSE
"Solea solea",127160,TRUE,TRUE,FALSE,FALSE,FALSE
"Gobius paganellus",126893,TRUE,TRUE,TRUE,FALSE,FALSE
"Caranx crysos",126802,TRUE,TRUE,FALSE,FALSE,FALSE
"Pagellus bogaraveo",127059,TRUE,FALSE,FALSE,FALSE,FALSE
"Astropecten platyacanthus",123876,TRUE,FALSE,FALSE,FALSE,FALSE
"Chydorus sphaericus",148406,TRUE,TRUE,TRUE,FALSE,FALSE
"Owenia fusiformis",130544,TRUE,FALSE,FALSE,FALSE,FALSE
"Taurulus bubalis",127204,TRUE,TRUE,FALSE,FALSE,FALSE
"Lepadogaster candolii",272526,TRUE,FALSE,FALSE,FALSE,FALSE
"Potamopyrgus antipodarum",147123,FALSE,TRUE,TRUE,FALSE,TRUE
"Astropecten irregularis",123867,TRUE,FALSE,FALSE,FALSE,FALSE
"Gobiusculus flavescens",126898,TRUE,TRUE,FALSE,FALSE,FALSE
"Arenicola marina",129868,TRUE,FALSE,FALSE,FALSE,FALSE
"Tripterygion delaisi",127090,TRUE,FALSE,FALSE,FALSE,FALSE
"Cyclopterus lumpus",127214,TRUE,FALSE,FALSE,FALSE,FALSE
"Pholis gunnellus",126996,TRUE,TRUE,FALSE,FALSE,FALSE
"Heptagenia sulphurea",NA,NA,NA,NA,NA,NA
"Juxtacribrilina mutabilis",1059484,TRUE,NA,NA,NA,FALSE
"Alcyonidioides mytili",468026,TRUE,FALSE,FALSE,FALSE,FALSE
"Flustra foliacea",111367,TRUE,FALSE,FALSE,FALSE,FALSE
"Bufo bufo",NA,NA,NA,NA,NA,NA
"Orchesella cincta",NA,NA,NA,NA,NA,NA
"Polyphemus pediculus",409915,FALSE,TRUE,TRUE,FALSE,TRUE
"Patella pellucida",147459,TRUE,FALSE,FALSE,FALSE,FALSE
"Cristatella mucedo",NA,NA,NA,NA,NA,NA
"Ciliata mustela",126448,TRUE,FALSE,FALSE,FALSE,FALSE
"Rhithropanopeus harrisii",107414,TRUE,TRUE,FALSE,FALSE,FALSE
"Luidia sarsii",123922,TRUE,FALSE,FALSE,FALSE,FALSE
"Tripos horridus",837453,TRUE,NA,NA,NA,FALSE
"Mytilopsis leucophaeata",156887,FALSE,TRUE,TRUE,FALSE,TRUE
"Littorina saxatilis",140264,TRUE,TRUE,FALSE,FALSE,FALSE
"Thorogobius ephippiatus",126937,TRUE,FALSE,FALSE,FALSE,FALSE
"Leuctra fusca",NA,NA,NA,NA,NA,NA
"Rutilus rutilus",154333,FALSE,TRUE,TRUE,FALSE,TRUE
"Dasyatis pastinaca",105851,TRUE,TRUE,FALSE,FALSE,FALSE
"Littorina obtusata",140263,TRUE,NA,NA,NA,FALSE
"Caprella mutica",146768,TRUE,FALSE,FALSE,FALSE,FALSE
"Semibalanus balanoides",106210,TRUE,NA,NA,NA,FALSE
"Nucella lapillus",140403,TRUE,NA,FALSE,FALSE,FALSE
