"design","n_bio_design","n_pcr_design","effort","n","pct_above_80_mean","pct_above_80_conservative","pct_above_80_optimistic","pct_above_50_mean","pct_above_95_mean","mean_p_detect","mean_CI_width"
"2×2",2,2,4,8652,40.1,0,100,74.1,0,0.684,0.642
"3×2",3,2,6,8652,50.2,0,100,100,24.7,0.772,0.586
"2×3",2,3,6,8652,42.2,0,100,82.5,0,0.721,0.64
"4×2",4,2,8,8652,56.9,24.7,100,100,38.2,0.824,0.535
"2×4",2,4,8,8652,42.6,0,100,82.5,0,0.739,0.629
"3×3",3,3,9,8652,54.6,0,100,100,27.6,0.804,0.571
"5×2",5,2,10,8652,67.3,35.3,100,100,40.2,0.858,0.483
"2×5",2,5,10,8652,43.6,0,100,100,0,0.75,0.633
"6×2",6,2,12,8652,74.1,38.2,100,100,46.9,0.882,0.443
"4×3",4,3,12,8652,61.4,27.6,100,100,41.1,0.852,0.509
"3×4",3,4,12,8652,55.2,0,100,100,29.4,0.82,0.554
"2×6",2,6,12,8652,46.5,0,100,100,0,0.756,0.626
"7×2",7,2,14,8652,78.7,41.1,100,100,50.2,0.9,0.411
"5×3",5,3,15,8652,68,38.3,100,100,45.6,0.883,0.45
"3×5",3,5,15,8652,57.6,2.9,100,100,37.9,0.83,0.548
"8×2",8,2,16,8652,82.5,45.6,100,100,51,0.915,0.382
"4×4",4,4,16,8652,61.4,29.2,100,100,42.6,0.867,0.485
"6×3",6,3,18,8652,78.7,41.2,100,100,50.6,0.904,0.41
"3×6",3,6,18,8652,57.6,0,100,100,30.3,0.835,0.543
"5×4",5,4,20,8652,78.7,39.3,100,100,45.6,0.897,0.434
"4×5",4,5,20,8652,61.4,29.4,100,100,42.6,0.874,0.48
"7×3",7,3,21,8652,82.5,42.2,100,100,54.3,0.921,0.379
"8×3",8,3,24,8652,100,47.4,100,100,54.6,0.934,0.345
"6×4",6,4,24,8652,82.5,42.6,100,100,54.3,0.918,0.387
"4×6",4,6,24,8652,66,30.3,100,100,42.6,0.881,0.47
"5×5",5,5,25,8652,78.7,41.4,100,100,46.9,0.904,0.417
"7×4",7,4,28,8652,100,42.6,100,100,55.2,0.931,0.355
"6×5",6,5,30,8652,100,42.6,100,100,54.6,0.923,0.381
"5×6",5,6,30,8652,82.5,41.7,100,100,48.5,0.908,0.412
"8×4",8,4,32,8652,100,47.7,100,100,57.6,0.942,0.324
"7×5",7,5,35,8652,100,43.6,100,100,57.6,0.937,0.346
"6×6",6,6,36,8652,100,42.6,100,100,55.2,0.927,0.366
"8×5",8,5,40,8652,100,51.5,100,100,57.6,0.948,0.31
"7×6",7,6,42,8652,100,43.6,100,100,57.6,0.942,0.33
"8×6",8,6,48,8652,100,48.9,100,100,57.6,0.951,0.301
