"Country","Site","BioSample","OTU","n_pcr_positive","n_pcr_total","p_pcr","total_reads"
"Netherlands","Netherlands_6","BGEMIS0502","otu134",3,3,1,5021
"Netherlands","Netherlands_6","BGEMIS0502","otu137",3,3,1,12229
"Netherlands","Netherlands_6","BGEMIS0502","otu22",2,3,0.666666666666667,192
"Netherlands","Netherlands_6","BGEMIS0502","otu7",3,3,1,3582
"Netherlands","Netherlands_6","BGEMIS0502","otu212",1,3,0.333333333333333,948
"Netherlands","Netherlands_6","BGEMIS0502","otu17",3,3,1,2143
"Netherlands","Netherlands_6","BGEMIS0502","otu235",1,3,0.333333333333333,85
"Netherlands","Netherlands_6","BGEMIS0502","otu301",1,3,0.333333333333333,190
"Netherlands","Netherlands_6","BGEMIS0502","otu1088",1,3,0.333333333333333,30
"Netherlands","Netherlands_6","BGEMIS0502","otu1103",1,3,0.333333333333333,86
"Netherlands","Netherlands_6","BGEMIS0502","otu203",1,3,0.333333333333333,560
"Netherlands","Netherlands_6","BGEMIS0502","otu2537",1,3,0.333333333333333,24
"Netherlands","Netherlands_6","BGEMIS0502","otu310",1,3,0.333333333333333,47
"Netherlands","Netherlands_6","BGEMIS0502","otu413",3,3,1,177
"Netherlands","Netherlands_6","BGEMIS0502","otu654",1,3,0.333333333333333,28
"Netherlands","Netherlands_6","BGEMIS0502","otu3997",1,3,0.333333333333333,30
"Netherlands","Netherlands_6","BGEMIS0502","otu4250",1,3,0.333333333333333,22
"Netherlands","Netherlands_6","BGEMIS0512","otu134",3,3,1,697
"Netherlands","Netherlands_6","BGEMIS0512","otu137",3,3,1,6654
"Netherlands","Netherlands_6","BGEMIS0512","otu163",2,3,0.666666666666667,329
"Netherlands","Netherlands_6","BGEMIS0512","otu202",1,3,0.333333333333333,62
"Netherlands","Netherlands_6","BGEMIS0512","otu22",2,3,0.666666666666667,288
"Netherlands","Netherlands_6","BGEMIS0512","otu7",3,3,1,668
"Netherlands","Netherlands_6","BGEMIS0512","otu810",1,3,0.333333333333333,60
"Netherlands","Netherlands_6","BGEMIS0512","otu212",1,3,0.333333333333333,137
"Netherlands","Netherlands_6","BGEMIS0512","otu17",3,3,1,1028
"Netherlands","Netherlands_6","BGEMIS0512","otu235",1,3,0.333333333333333,61
"Netherlands","Netherlands_6","BGEMIS0512","otu301",1,3,0.333333333333333,70
"Netherlands","Netherlands_6","BGEMIS0512","otu480",3,3,1,397
"Netherlands","Netherlands_6","BGEMIS0512","otu1038",1,3,0.333333333333333,42
"Netherlands","Netherlands_6","BGEMIS0512","otu1140",1,3,0.333333333333333,51
"Netherlands","Netherlands_6","BGEMIS0512","otu203",2,3,0.666666666666667,366
"Netherlands","Netherlands_6","BGEMIS0512","otu654",2,3,0.666666666666667,138
"Netherlands","Netherlands_4","BGEMIS0504","otu221",1,2,0.5,131
"Netherlands","Netherlands_4","BGEMIS0504","otu400",1,2,0.5,4
"Netherlands","Netherlands_4","BGEMIS0504","otu5522",1,2,0.5,10
"Netherlands","Netherlands_4","BGEMIS0504","otu78",1,2,0.5,154
"Netherlands","Netherlands_4","BGEMIS0504","otu1097",1,2,0.5,1086
"Netherlands","Netherlands_4","BGEMIS0504","otu1290",1,2,0.5,65
"Netherlands","Netherlands_4","BGEMIS0504","otu440",1,2,0.5,2
"Netherlands","Netherlands_4","BGEMIS0504","otu1467",2,2,1,504
"Netherlands","Netherlands_4","BGEMIS0504","otu1982",2,2,1,81
"Netherlands","Netherlands_4","BGEMIS0504","otu203",1,2,0.5,3
"Netherlands","Netherlands_4","BGEMIS0504","otu2179",1,2,0.5,150
"Netherlands","Netherlands_4","BGEMIS0504","otu264",1,2,0.5,4
"Netherlands","Netherlands_4","BGEMIS0504","otu3469",1,2,0.5,40
"Netherlands","Netherlands_4","BGEMIS0504","otu4935",1,2,0.5,8
"Netherlands","Netherlands_4","BGEMIS0504","otu5988",1,2,0.5,3
"Netherlands","Netherlands_4","BGEMIS0504","otu2601",1,2,0.5,93
"Netherlands","Netherlands_4","BGEMIS0504","otu3207",1,2,0.5,47
"Netherlands","Netherlands_4","BGEMIS0504","otu4895",1,2,0.5,12
"Netherlands","Netherlands_4","BGEMIS0504","otu2688",1,2,0.5,76
"Netherlands","Netherlands_4","BGEMIS0504","otu3388",1,2,0.5,41
"Netherlands","Netherlands_4","BGEMIS0504","otu3828",1,2,0.5,29
"Netherlands","Netherlands_4","BGEMIS0504","otu4104",1,2,0.5,24
"Netherlands","Netherlands_4","BGEMIS0504","otu4177",1,2,0.5,23
"Netherlands","Netherlands_4","BGEMIS0504","otu4311",1,2,0.5,21
"Netherlands","Netherlands_4","BGEMIS0504","otu4822",1,2,0.5,18
